Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.7,54937,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,61,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,1278,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,106,0,United States
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,1278,128,Not found
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,650,128,Not found
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,1278,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,101,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,61,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,468,0,United States
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,1274,0,United States
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,127,128,Not found
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,422,0,United States
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,57,128,Not found
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,53,128,Not found
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,53,128,Not found
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,61,0,United States
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,552,128,Not found
192.168.222.7,50682,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,64,0,United States
142.250.200.10,443,192.168.222.7,50682,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,53,128,Not found
192.168.222.7,54937,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,94,0,United States
192.168.222.7,54937,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,759,0,United States
142.250.200.10,443,192.168.222.7,54937,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,55,0,Not found
142.250.200.10,443,192.168.222.7,54937,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,284,0,Not found
192.168.222.7,54937,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",17,64,0,United States
142.250.200.10,443,192.168.222.7,54937,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,53,0,Not found
192.168.222.7,53896,172.217.16.234,443,"('lhr48s28-in-f10.1e100.net', [], ['172.217.16.234'])",6,52,0,United States
104.16.122.175,443,192.168.222.7,42822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,40,0,Not found
