Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.1,53,192.168.222.7,37127,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,108.0,0.0,Not found
192.168.222.7,50712,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,90.0,0.0,Not found
192.168.222.1,53,192.168.222.7,50712,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,90.0,0.0,Not found
192.168.222.7,42991,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,90.0,0.0,Not found
192.168.222.1,53,192.168.222.7,42991,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,106.0,0.0,Not found
20.62.208.25,443,192.168.222.7,50768,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,60.0,0.0,Not found
192.168.222.217,36295,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.217,36295,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,134.0,0.0,Not found
192.168.222.217,56728,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,60.0,0.0,United States
20.62.208.25,443,192.168.222.7,50768,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
20.62.208.25,443,192.168.222.7,50768,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,1575.0,0.0,Not found
35.224.170.84,80,192.168.222.217,56728,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,60.0,96.0,Not found
192.168.222.217,56728,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.217,56728,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,139.0,0.0,United States
35.224.170.84,80,192.168.222.217,56728,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,96.0,Not found
35.224.170.84,80,192.168.222.217,56728,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,200.0,96.0,Not found
35.224.170.84,80,192.168.222.217,56728,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,96.0,Not found
192.168.222.217,56728,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.217,56728,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
