Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,128.0,0.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,200.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,80.0,0.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,164.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,680.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,60.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,60.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,93.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,93.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,1564.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,1108.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,100.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,96.0,0.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,204.0,8.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
